PRICE_USD,BEDROOMS,BATHROOMS,PARKING_SPOTS,CONSTRUCTION_AREA_SQM,LATITUDE,LONGITUDE,CITY_Guayaquil,CITY_Manta,CITY_Quito
349000,4,4,5,1125.0,-0.273322351448279,-78.45940487301637,0.0,0.0,1.0
234000,3,2,3,300.0,-0.234387,-78.44522,0.0,0.0,1.0
730000,4,3,10,2471.0,-0.179295257205262,-78.44077299933622,0.0,0.0,1.0
120000,3,3,2,212.0,-0.086549317803059,-78.47974001009521,0.0,0.0,1.0
389000,3,3,4,490.0,-0.155602,-78.37284559999999,0.0,0.0,1.0
189999,3,3,2,198.0,-0.2134195,-78.4434001,0.0,0.0,1.0
177900,6,3,6,466.0,-0.2419394,-78.4860288,0.0,0.0,1.0
850000,4,6,6,2232.0,-0.219804629953154,-78.43901145452269,0.0,0.0,1.0
77900,3,2,2,89.0,-0.319523682596999,-78.4858689153,0.0,0.0,1.0
419900,3,3,4,800.0,-0.155907674247632,-78.4345266022876,0.0,0.0,1.0
178000,3,2,2,185.0,-0.20841380129229,-78.40412223646595,0.0,0.0,1.0
265000,4,4,5,457.0,-0.100709458375999,-78.4993616529,0.0,0.0,1.0
190000,9,6,2,230.0,-0.243755074704778,-78.50846743551254,0.0,0.0,1.0
209335,3,3,2,227.0,-0.218810455549652,-78.40540903439329,0.0,0.0,1.0
650000,5,4,2,1108.0,-0.197281281453492,-78.4360221818823,0.0,0.0,1.0
37000,3,1,1,102.0,0.001932484655791,-78.45068400740966,0.0,0.0,1.0
105000,3,2,2,163.0,-0.279216834375,-78.4597551226,0.0,0.0,1.0
124900,4,3,2,214.0,-0.09761007539418,-78.48113289255981,0.0,0.0,1.0
289900,4,3,4,900.0,-0.0875297,-78.4689224,0.0,0.0,1.0
920000,4,4,4,1070.0,-0.2256893,-78.3922181,0.0,0.0,1.0
159000,3,2,2,142.0,-0.2013251147,-78.3853640937,0.0,0.0,1.0
107000,3,3,2,160.0,-0.10010912338984,-78.46572652592315,0.0,0.0,1.0
800000,4,5,3,1150.0,-0.2009974,-78.43303809999999,0.0,0.0,1.0
85000,4,2,1,149.0,-0.094730327253564,-78.45790561821289,0.0,0.0,1.0
148000,4,3,3,476.0,-0.31486086187,-78.4838381198,0.0,0.0,1.0
92000,3,2,2,157.0,-0.077314695323511,-78.4207950550171,0.0,0.0,1.0
360000,10,6,8,703.0,-0.1171059,-78.4927854,0.0,0.0,1.0
189000,3,4,3,240.0,-0.220200383327563,-78.42212758120658,0.0,0.0,1.0
158500,6,3,1,328.0,-0.253235793435,-78.5172804355,0.0,0.0,1.0
315000,3,3,4,240.0,-0.2067855,-78.48088709999999,0.0,0.0,1.0
349500,6,4,2,1528.0,-0.3062205,-78.4149763,0.0,0.0,1.0
454000,3,3,4,344.0,-0.2256893,-78.3922181,0.0,0.0,1.0
80000,3,3,1,135.0,-0.270950799999999,-78.5520677,0.0,0.0,1.0
620000,4,5,5,1235.0,-0.1577774,-78.4606135,0.0,0.0,1.0
178000,3,3,2,365.0,-0.286343,-78.4579368,0.0,0.0,1.0
82000,3,2,1,100.0,-0.210690999999999,-78.3955986,0.0,0.0,1.0
105000,3,2,2,171.0,-0.32848535885,-78.463415364,0.0,0.0,1.0
415000,10,10,2,2230.0,-0.115021136733,-78.5059556091,0.0,0.0,1.0
115000,3,2,2,120.0,-0.1412935,-78.465499,0.0,0.0,1.0
169000,3,2,2,123.0,-0.210690999999999,-78.3955986,0.0,0.0,1.0
78790,3,2,2,82.0,-0.321143136852999,-78.4878665824,0.0,0.0,1.0
195000,3,2,2,270.0,-0.207038599999999,-78.4448597,0.0,0.0,1.0
